run_id,group,level_id,seed,target_model_name,draft_model_name,spec_steps,kv_block_size,prefetch_depth,context_length,dtype,tokens_generated,time_sec,throughput_tps,acceptance_rate,mean_latency_ms,gpu_peak_mem_mb,n_rounds,status,error
A3_block256_s456,A3,A3_block256,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,256,1,65536,bfloat16,260,418.9289,0.62,0.2519,1611.265,25418.7,129,ok,
A3_block512_s42,A3,A3_block512,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,259,318.6119,0.81,0.2313,1230.162,25481.2,134,ok,
A3_block512_s123,A3,A3_block512,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,256,276.4852,0.93,0.2769,1080.02,25478.8,121,ok,
A3_block512_s456,A3,A3_block512,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,260,298.2446,0.87,0.2519,1147.094,25417.7,129,ok,
A3_block1024_s42,A3,A3_block1024,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,1024,1,65536,bfloat16,259,243.4297,1.06,0.2313,939.883,25479.6,134,ok,
A3_block1024_s123,A3,A3_block1024,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,1024,1,65536,bfloat16,256,223.1548,1.15,0.2769,871.698,25477.9,121,ok,
A3_block1024_s456,A3,A3_block1024,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,1024,1,65536,bfloat16,260,234.4506,1.11,0.2519,901.733,25417.0,129,ok,
A3_block2048_s42,A3,A3_block2048,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,65536,bfloat16,259,216.4288,1.2,0.2313,835.632,25479.8,134,ok,
A3_block2048_s123,A3,A3_block2048,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,65536,bfloat16,256,197.3827,1.3,0.2769,771.026,25478.3,121,ok,
A3_block2048_s456,A3,A3_block2048,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,65536,bfloat16,260,209.8833,1.24,0.2519,807.243,25417.4,129,ok,
A4_sync_s42,A4,A4_sync,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,0,65536,bfloat16,259,306.7329,0.84,0.2313,1184.297,25474.0,134,ok,
A4_sync_s123,A4,A4_sync,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,0,65536,bfloat16,256,283.104,0.9,0.2769,1105.875,25472.4,121,ok,
A4_sync_s456,A4,A4_sync,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,0,65536,bfloat16,260,291.1231,0.89,0.2519,1119.704,25410.7,129,ok,
A4_async1_s42,A4,A4_async1,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,259,318.2931,0.81,0.2313,1228.931,25481.2,134,ok,
A4_async1_s123,A4,A4_async1,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,256,276.8773,0.92,0.2769,1081.552,25478.8,121,ok,
A4_async1_s456,A4,A4_async1,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,260,295.0451,0.88,0.2519,1134.789,25417.7,129,ok,
A4_async2_s42,A4,A4_async2,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,2,65536,bfloat16,259,309.4488,0.84,0.2313,1194.783,25481.2,134,ok,
A4_async2_s123,A4,A4_async2,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,2,65536,bfloat16,256,288.8406,0.89,0.2769,1128.284,25478.8,121,ok,
A4_async2_s456,A4,A4_async2,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,2,65536,bfloat16,260,300.6519,0.86,0.2519,1156.354,25417.7,129,ok,
A5_llama2_7b_s42,A5,A5_llama2_7b,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,259,311.8311,0.83,0.2313,1203.981,25481.2,134,ok,
A5_llama2_7b_s123,A5,A5_llama2_7b,123,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,256,284.3983,0.9,0.2769,1110.931,25478.8,121,ok,
A5_llama2_7b_s456,A5,A5_llama2_7b,456,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,260,302.0244,0.86,0.2519,1161.632,25417.7,129,ok,
A5_llama2_13b_s42,A5,A5_llama2_13b,42,meta-llama/Llama-2-13b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,,,,,,,,error,"CUDA out of memory. Tried to allocate 78.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 3.56 MiB is free. Including non-PyTorch memory, this process has 39.48 GiB memory in use. Of the allocated memory 31.02 GiB is allocated by PyTorch, and 6.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
A5_llama2_13b_s123,A5,A5_llama2_13b,123,meta-llama/Llama-2-13b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,,,,,,,,error,"CUDA out of memory. Tried to allocate 78.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 3.56 MiB is free. Including non-PyTorch memory, this process has 39.48 GiB memory in use. Of the allocated memory 31.02 GiB is allocated by PyTorch, and 6.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
A5_llama2_13b_s456,A5,A5_llama2_13b,456,meta-llama/Llama-2-13b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,512,1,65536,bfloat16,,,,,,,,error,"CUDA out of memory. Tried to allocate 78.00 MiB. GPU 0 has a total capacity of 39.49 GiB of which 3.56 MiB is free. Including non-PyTorch memory, this process has 39.48 GiB memory in use. Of the allocated memory 31.02 GiB is allocated by PyTorch, and 6.95 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
