run_id,group,level_id,seed,target_model_name,draft_model_name,spec_steps,kv_block_size,prefetch_depth,context_length,dtype,tokens_generated,time_sec,throughput_tps,acceptance_rate,mean_latency_ms,ttft_ms,gpu_peak_mem_mb,n_rounds,status,error
RASD_ctx128k_phaseD_s42,M4,RASD_ctx128k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,131072,bfloat16,20,45.4953,0.44,0.1154,2274.767,10445.334,10723.0,13,ok,
RASD_ctx256k_phaseD_s42,M4,RASD_ctx256k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,262144,bfloat16,64,200.7907,0.32,0.2132,3137.354,26926.278,14874.1,34,ok,
RASD_ctx512k_phaseD_s42,M4,RASD_ctx512k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,524288,bfloat16,65,694.7886,0.09,0.1944,10689.056,96327.079,22605.2,36,ok,
RASD_ctx1M_phaseD_s42,M4,RASD_ctx1M_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,4,2048,1,1048576,bfloat16,66,959.427,0.07,0.2014,14536.772,336672.692,40283.4,36,ok,
TARGET_ctx128k_phaseD_s42,M4,TARGET_ctx128k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,0,2048,1,131072,bfloat16,64,234.6501,0.27,0.0,3666.407,14541.83,8447.6,63,ok,
TARGET_ctx256k_phaseD_s42,M4,TARGET_ctx256k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,0,2048,1,262144,bfloat16,64,380.6011,0.17,0.0,5946.892,27601.63,12868.1,63,ok,
TARGET_ctx512k_phaseD_s42,M4,TARGET_ctx512k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,0,2048,1,524288,bfloat16,,,,,,,,,error,"TypeError: 'NoneType' object is not iterable | Traceback (most recent call last): ||   File ""/home/ubuntu/RASD/run_experiment.py"", line 563, in _run_single_worker ||     generated_text, metrics = engine.generate_text(prompt) ||   File ""/home/ubuntu/RASD/src/models/rasd_inference.py"", line 1411, in generate_text ||     out_ids, metrics = self.generate( ||   File ""/home/ubuntu/venv-rasd/lib/python3.10/site-packages/torch/utils/_contextlib.py"", line 116, in decorate_context ||     return func(*args, **kwargs) ||   File ""/home/ubuntu/RASD/src/models/rasd_inference.py"", line 1067, in generate ||     self._maybe_save_checkpoint( ||   File ""/home/ubuntu/RASD/src/models/rasd_inference.py"", line 674, in _maybe_save_checkpoint ||     serialized_draft_past_kv = tuple( || TypeError: 'NoneType' object is not iterable || "
TARGET_ctx1M_phaseD_s42,M4,TARGET_ctx1M_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,0,2048,1,1048576,bfloat16,64,1447.7417,0.04,0.0,22620.964,337375.436,39397.0,63,ok,
TARGET_ctx512k_phaseD_s42,M4,TARGET_ctx512k_phaseD,42,meta-llama/Llama-2-7b-hf,princeton-nlp/Sheared-LLaMA-1.3B,0,2048,1,524288,bfloat16,64,1044.163,0.06,0.0,16315.046,97708.461,21711.2,63,ok,
