timestamp,baseline,context_length,seed,device,world_size,time_s,forward_tps,latency_ms
2026-05-10T20:03:29.912222+00:00,ring,131072,42,cuda:0,8,0.890510987333073,147187.4034845298,0.006794059656776985
2026-05-10T20:03:30.886351+00:00,sliding,131072,42,cuda:0,8,0.04770952966676608,2747291.8076428506,0.00036399482472813477
2026-05-10T20:03:30.977649+00:00,ring,262144,42,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:32.932443+00:00,sliding,262144,42,cuda:0,8,0.08151394566690821,3215940.509998171,0.0003109510256458596
2026-05-10T20:03:33.026356+00:00,ring,524288,42,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:33.026480+00:00,sliding,524288,42,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:33.112409+00:00,ring,1048576,42,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:33.112481+00:00,sliding,1048576,42,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:41.433618+00:00,ring,131072,123,cuda:0,8,0.8899159970005712,147285.81174152764,0.0067895202407880495
2026-05-10T20:03:42.578830+00:00,sliding,131072,123,cuda:0,8,0.04773489933328771,2745831.70449042,0.0003641883799231545
2026-05-10T20:03:42.676962+00:00,ring,262144,123,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:44.643711+00:00,sliding,262144,123,cuda:0,8,0.08160681966667956,3212280.5553594516,0.000311305311838835
2026-05-10T20:03:44.737171+00:00,ring,524288,123,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:44.737226+00:00,sliding,524288,123,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:44.823135+00:00,ring,1048576,123,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:44.823248+00:00,sliding,1048576,123,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:52.349658+00:00,ring,131072,456,cuda:0,8,0.8930178116667472,146774.2281146268,0.006813185208639124
2026-05-10T20:03:53.414572+00:00,sliding,131072,456,cuda:0,8,0.04123531533332425,3178634.5985348723,0.0003146004892984333
2026-05-10T20:03:53.496375+00:00,ring,262144,456,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:55.640235+00:00,sliding,262144,456,cuda:0,8,0.0816780199996477,3209480.3473582086,0.00031157691955432015
2026-05-10T20:03:55.728674+00:00,ring,524288,456,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:55.728727+00:00,sliding,524288,456,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:55.806211+00:00,ring,1048576,456,cuda:0,8,-1.0,-1.0,-1.0
2026-05-10T20:03:55.806279+00:00,sliding,1048576,456,cuda:0,8,-1.0,-1.0,-1.0
